"","acs_col","var_name","universe_col","pretty_name_count","pretty_name_proportion","acs_variable_name_to_interpolate_by_sum_boolean_mapping","year"
"36","B01001_036","females_30_to_34","B01001_026","Female residents 30 to 34 (count)","Female residents 30 to 34 (proportion of all Female residents)",TRUE,"2010"
"37","B01001_037","females_35_to_39","B01001_026","Female residents 35 to 39 (count)","Female residents 35 to 39 (proportion of all Female residents)",TRUE,"2010"
"38","B01001_038","females_40_to_44","B01001_026","Female residents 40 to 44 (count)","Female residents 40 to 44 (proportion of all Female residents)",TRUE,"2010"
"39","B01001_039","females_45_to_49","B01001_026","Female residents 45 to 49 (count)","Female reidents 45 to 49 (proportion of all Female residents)",TRUE,"2010"
"40","B01001_040","females_50_to_54","B01001_026","Female residents 50 to 54 (count)","Female residents 50 to 54 (proportion of all Female residents)",TRUE,"2010"
"41","B01001_041","females_55_to_59","B01001_026","Female residents 55 to 59 (count)","Female residents 55 to 59 (proportion of all Female residents)",TRUE,"2010"
"42","B01001_042","females_60_to_61","B01001_026","Female residents 60 to 61 (count)","Female residents 60 to 61 (proportion of all Female residents)",TRUE,"2010"
"43","B01001_043","females_62_to_64","B01001_026","Female residents 62 to 64 (count)","Female residents 62 to 64 (proportion of all Female residents)",TRUE,"2010"
"44","B01001_044","females_65_to_66","B01001_026","Female residents 65 to 66 (count)","Female residents 65 to 66 (proportion of all Female residents)",TRUE,"2010"
"45","B01001_045","females_67_to_69","B01001_026","Female residents 67 to 69count)","Female residents 67 to 69 (proportion of all Female residents)",TRUE,"2010"
"46","B01001_046","females_70_to_74","B01001_026","Female residents 70 to 74 (count)","Female residents 70 to 74 (proportion of all Female residents)",TRUE,"2010"
"47","B01001_047","females_75_to_79","B01001_026","Female residents 75 to 79 (count)","Female residents 75 to 79 (proportion of all Female residents)",TRUE,"2010"
"48","B01001_048","females_80_to_84","B01001_026","Female residents 80 to 84 (count)","Female residents 80 to 84 (proportion of all Female residents)",TRUE,"2010"
"49","B01001_049","females_85_and_older","B01001_026","Female residents 85 and older (count)","Female residents 85 and older (proportion of all Female residents)",TRUE,"2010"
"50","B01001H_001","non_hisp_white","B01001_001","Non-hispanic white residents (count)","Percent of non-hispanic white residents (proportion of all residents)",TRUE,"2010"
"51","B02001_002","white_alone","B01001_001","White residents (count)","White residents (proportion of all residents)",TRUE,"2010"
"52","B02001_003","black_alone","B01001_001","Black residents (count)","Black residents (proportion of all residents)",TRUE,"2010"
"53","B02001_004","americanindian_or_alaskanative_alone","B01001_001","American Indian or Alaska Native residents (count)","American Indian or Alaska Native residents (proportion of all residents)",TRUE,"2010"
"54","B02001_005","asian_alone","B01001_001","Asian residents (count)","Asian residents (proportion of all residents)",TRUE,"2010"
"55","B02001_006","pacific_islander_alone","B01001_001","Pacific islander residents (count)","Pacific islander residents (proportion of all residents)",TRUE,"2010"
"56","B02001_007","other_race_alone","B01001_001","Other race residents (count)","Other race residents (proportion of all residents)",TRUE,"2010"
"57","B02001_008","two_or_more_races","B01001_001","Two or more race residents (count)","Two or more race residents (proportion of all residents)",TRUE,"2010"
"58","B03002_001","total_pop_ethnicity","","Total population, ethnicity determined","",TRUE,"2010"
"59","B03002_004","nh_black_alone","B03002_001","Non-Hispanic black residents","Percent of non-Hispanic Black residents (proportion of all residents)",TRUE,"2010"
"60","B05001_002","citizen_born_in_states","","Citizens born in US (count)","",TRUE,"2010"
"61","B05001_003","citizen_born_in_territories","","Citizens born in US Territories (count)","",TRUE,"2010"
"62","B05001_004","citizen_born_abroad","","Citizens born abroad (count)","",TRUE,"2010"
"63","B05001_005","citizen_naturalized","","Naturalized citizens (count)","",TRUE,"2010"
"64","B05001_006","non_citizen","","Non-citizens (count)","",TRUE,"2010"
"65","B05012_002","native","","Native born residents (count)","",TRUE,"2010"
"66","B05012_003","foreign_born","","Foreign born residents (count)","",TRUE,"2010"
"67","B06008_001","pop_15_and_over","","Residents aged 15 and older (count)","",TRUE,"2010"
"68","B06008_002","never_married","B06008_001","Never-married residents aged 15 and older (count)","Never-married residents aged 15 and older (proportion of residents aged 15 and older)",TRUE,"2010"
"69","B06008_003","married_not_separated","B06008_001","Married not separated residents (count)","Married not separated residents (proportion of residents aged 15 and older)",TRUE,"2010"
"70","B06008_004","divorced","B06008_001","Divorced residents (count)","Divorced residents (proportion of residents aged 15 and older)",TRUE,"2010"
"71","B06008_005","separated","B06008_001","Married separated residents (count)","Married separated residents (proportion of residents aged 15 and older)",TRUE,"2010"
"72","B06008_006","widowed","B06008_001","Windowed residents (count)","Windowed residents (proportion of residents aged 15 and older)",TRUE,"2010"
"73","B06008_007","born_in_state","B06008_001","Residents born in current state (count)","Residents born in current state (proportion of residents aged 15 and older)",TRUE,"2010"
"74","B06008_013","born_in_other_state","B06008_001","Residents born in another state (count)","Residents born in another state (proportion of residents aged 15 and older)",TRUE,"2010"
"75","B06009_001","pop_25_above","","Population 25 years and older (count)","",TRUE,"2010"
"76","B06009_002","no_hsdiploma","B06009_001","Residents (25+) with less than hs education (count)","Proportion of residents (ages 25+) with less than a high school diploma (proportion of all residents 25 years and older)",TRUE,"2010"
"77","B06012_001","total_pop_poverty_level_deter","","Total population for whom poverty level is determined (count)","",TRUE,"2010"
"78","B06012_002","pop_below_100_poverty_threshold","B06012_001","Population below 100% of the poverty level (count)","Percent of population below 100% of the poverty level (proportion of total population for whome poverty status is determined)",TRUE,"2010"
"79","B06012_003","pop_100_to_149_poverty_threshold","B06012_001","Population at 100 to 149 percent of the poverty level (count","Percent of population at 100 to 149 percent of the poverty level (proportion of total populatoin for whom poverty status is determined)",TRUE,"2010"
"80","B07001_017","same_house_last_year","","People living in the same house they lived last year (count)","",TRUE,"2010"
"81","B07001_033","moved_within_county","","People moved within the same county (count)","",TRUE,"2010"
"82","B07001_049","moved_within_state","","People moved within the same state, but from a different county (count)","",TRUE,"2010"
"83","B07001_065","moved_from_other_state","","People moved from a different state (count)","",TRUE,"2010"
"84","B07001_081","moved_from_abroad","","People moved from abroad (count)","",TRUE,"2010"
"85","B08006_001","workers_over_15","","Workers aged 15 and older (count)","",TRUE,"2010"
"86","B08006_003","drive_alone_commuters","B08006_001","Drive alone commuters (count)","Drive alone commuters (proportion of employed residents aged 15 and older)",TRUE,"2010"
"87","B08006_004","carpool_commuters","B08006_001","Carpool commuters (count)","Carpool commuters (proportion of employed residents aged 15 and older)",TRUE,"2010"
"88","B08006_008","transit_commuters","B08006_001","Transit commuters (count)","Transit commuters (proportion of employed residents aged 15 and older)",TRUE,"2010"
"89","B08006_014","bike_commuters","B08006_001","Bicycle commuters (count)","Bicycle commuters (proportion of employed residents aged 15 and older)",TRUE,"2010"
"90","B08006_015","walk_commuters","B08006_001","Walking commuters (count)","Walking commuters (proportion of employed residents aged 15 and older)",TRUE,"2010"
"91","B08006_016","other_commuters","B08006_001","Other mode commuters (count)","Other mode commuters (proportion of employed residents aged 15 and older)",TRUE,"2010"
"92","B08006_017","work_at_home","B08006_001","Work at home (count)","Work at home (proportion of employed residents aged 15 and older)",TRUE,"2010"
"93","B08302_002","start_commute_before_5am","B08006_001","Start commute before 5 am (count)","Start commute before 5 am (proportion of employed residents aged 15 and older)",TRUE,"2010"
"94","B08302_003","commute_start_5_530","B08006_001","Start commute between 5:00 and 5:30 am (count)","Start commute between 5:00 and 5:30 am (proportion of employed residents aged 15 and older)",TRUE,"2010"
"95","B08302_004","commute_start_530_6","B08006_001","Start commute between 5:30 and 6:00 am (count)","Start commute between 5:30 and 6:00 am (proportion of employed residents aged 15 and older)",TRUE,"2010"
"96","B08302_005","commute_start_6_630","B08006_001","Start commute between 6:00 and 6:30 am (count)","Start commute between 6:00 and 6:30 am (proportion of employed residents aged 15 and older)",TRUE,"2010"
"97","B08302_006","commute_start_630_7","B08006_001","Start commute between 6:30 and 7:00 am (count)","Start commute between 6:30 and 7:00 am (proportion of employed residents aged 15 and older)",TRUE,"2010"
"98","B08302_007","commute_start_7_730","B08006_001","Start commute between 7:00 and 7:30 am (count)","Start commute between 7:00 and 7:30 am (proportion of employed residents aged 15 and older)",TRUE,"2010"
"99","B08302_008","commute_start_730_8","B08006_001","Start commute between 7:30 and 8:00 am (count)","Start commute between 7:30 and 8:00 am (proportion of employed residents aged 15 and older)",TRUE,"2010"
"100","B08302_009","commute_start_8_830","B08006_001","Start commute between 8:00 and 8:30 am (count)","Start commute between 8:00 and 8:30 am (proportion of employed residents aged 15 and older)",TRUE,"2010"
"101","B08302_010","commute_start_830_9","B08006_001","Start commute between 8:30 and 9:00 am (count)","Start commute between 8:30 and 9:00 am (proportion of employed residents aged 15 and older)",TRUE,"2010"
"102","B08302_011","commute_start_9_10","B08006_001","Start commute between 9:00 and 10:00 am (count)","Start commute between 9:00 and 10:00 am (proportion of employed residents aged 15 and older)",TRUE,"2010"
"103","B08302_012","commute_start_10_11","B08006_001","Start commute between 10:00 and 11:00 am (count)","Start commute between 10:00 and 11:00 am (proportion of employed residents aged 15 and older)",TRUE,"2010"
"104","B08302_013","commute_start_11_12","B08006_001","Start commute between 11:00 am and 12:00 pm (count)","Start commute between 11:00 am and 12:00 pm (proportion of employed residents aged 15 and older)",TRUE,"2010"
"105","B08302_014","commute_start_12_4pm","B08006_001","Start commute between 12:00 and 4:00 pm (count)","Start commute between 12:00 and 4:00 pm (proportion of employed residents aged 15 and older)",TRUE,"2010"
"106","B08302_015","commute_start_4pm_on","B08006_001","Start commute between after 4:00 pm (count)","Start commute between after 4:00 pm (proportion of employed residents aged 15 and older)",TRUE,"2010"
"107","B11003_001","total_families","","Total families (count)","",TRUE,"2010"
"108","B11003_009","male_head_alone","B11003_001","Male householder, no spouse or partner","Percent of male househoders, no spouse or partner (proportion of all families)",TRUE,"2010"
"109","B11003_010","male_head_kids","B11003_001","Male householder, no spouse or partner,  with own kids (count)","Percent of males living alone with own kids under 18 (Proportion of all households)",TRUE,"2010"
"110","B11003_015","female_head_alone","B11003_001","Female houseoholder, no spouse or partner","Percent of female househoders, no spouse or partner (proportion of all families)",TRUE,"2010"
"111","B11003_016","female_head_kids","B11003_001","Female householders, no spouse or partner, with own children under 18 (count)","Percent of female householders, no spouse or partner, with own children under 18 (percent of households)",TRUE,"2010"
"112","B11004_001","total_families","","Total families (count)","",TRUE,"2010"
"113","B11004_010","male_head_relatedkids","B11004_001","Male householder living alone with related kids under 18 (count)","Percent of male householders with related kids under 18 (proportion of all families)",TRUE,"2010"
"114","B11004_016","female_head_relatedkids","B11004_001","Female householder living alone with related kids under 18 (count)","Percent of female householders with related kids under 18 (proportion of all families)",TRUE,"2010"
"115","B11010_001","total_nonfamily_households","","Total nonfamily households (count)","",TRUE,"2010"
"116","B11010_003","male_householder_alone","B11010_001","Male householder, living alone","",TRUE,"2010"
"117","B11010_010","female_householder_alone","B11010_001","Female householder, living alone (count)","",TRUE,"2010"
"118","B11011_001","total_households","","Total households (count)","",TRUE,"2010"
"119","B11012_001","total_households","","Total households (count)","",TRUE,"2010"
"120","B11012_009","living_alone_female","B11012_001","Female householder, no spouse or partner (count)","Percent of female householders with no spouse or partner (proportin of all households)",TRUE,"2010"
"121","B11012_010","female_head_kids","B11012_001","Female householders, no spouse or partner, with own children under 18 (count)","Percent of female householders, no spouse or partner, with own children under 18 (percent of households)",TRUE,"2010"
"122","B11012_014","living_alone_male","B11012_001","Male householder living alone (count)","Percent of males living alone (Proportion of all households)",TRUE,"2010"
"123","B11012_015","male_head_kids","B11012_001","Male householder, no spouse or partner, with kids under 18 years (count)","Percent of male householder, no spouse or partner, with kids under 18 years (proportion of all households)",TRUE,"2010"
"124","B15002_001","pop_25_and_over","","Residents aged 25 and older (count)","",TRUE,"2010"
"125","B15002_002","pop_25_and_over_male","B15002_001","Male Residents aged 25 and older (count)","Male Residents aged 25 and older (Proportion of residents 25 and older)",TRUE,"2010"
"126","B15002_003","no_education_male","B15002_001","Male residents with no education (count)","Male residents with no education (Proportion of residents 25 and older)",TRUE,"2010"
"127","B15002_004","nursery_to_fourth_grade_male","B15002_001","Male residents with pre-school to fourth grade education (count)","Male residents with pre-school to fourth grade education (Proportion of residents 25 and older)",TRUE,"2010"
"128","B15002_005","5th_or_6th_grade_male","B15002_001","Male residents with 5th or 6th grade education (count)","Male residents with 5th or 6th grade education (Proportion of residents 25 and older)",TRUE,"2010"
"129","B15002_006","7th_or_8th_grade_male","B15002_001","Male residents with 7th or 8th grade education (count)","Male residents with 7th or 8th grade education (Proportion of residents 25 and older)",TRUE,"2010"
"130","B15002_007","ninth_grade_male","B15002_001","Male residents with 9th grade education (count)","Male residents with 9th grade education (Proportion of residents 25 and older)",TRUE,"2010"
"131","B15002_008","tenth_grade_male","B15002_001","Male residents with tenth grade education (count)","Male residents with tenth grade education (Proportion of residents 25 and older)",TRUE,"2010"
"132","B15002_009","eleventh_grade_male","B15002_001","Male residents with eleventh grade education (count)","Male residents with eleventh grade education (Proportion of residents 25 and older)",TRUE,"2010"
"133","B15002_010","twelfth_grade_no_diploma_male","B15002_001","Male residents with twelfth grade education, no diploma (count)","Male residents with twelfth grade education, no diploma (Proportion of residents 25 and older)",TRUE,"2010"
"134","B15002_011","high_school_grad_male","B15002_001","Male residents with high school degree or equivalent (count)","Male residents with high school degree or equivalent (Proportion of residents 25 and older)",TRUE,"2010"
"135","B15002_012","some_college_less_than_1_year_male","B15002_001","Male residents with less than one year of college (count)","Male residents with less than one year of college (Proportion of residents 25 and older)",TRUE,"2010"
"136","B15002_013","some_college_1_year_or_more_male","B15002_001","Male residents with one or more year of college (count)","Male residents with one or more year of college (Proportion of residents 25 and older)",TRUE,"2010"
"137","B15002_014","associates_degree_male","B15002_001","Male residents with associates degree (count)","Male residents with associates degree (Proportion of residents 25 and older)",TRUE,"2010"
"138","B15002_015","bachelors_degree_male","B15002_001","Male residents aged 25 and older with a bachelor's degree (count)","Male residents aged 25 and older with a bachelor's degree (proportion of residents aged 25 and older)",TRUE,"2010"
"139","B15002_016","masters_degree_male","B15002_001","Male residents with masters degree (count)","Male residents with masters degree (Proportion of residents 25 and older)",TRUE,"2010"
"140","B15002_017","professional_degree_male","B15002_001","Male residents with professional degree (count)","Male residents with professional degree (Proportion of residents 25 and older)",TRUE,"2010"
"141","B15002_018","doctoral_degree_male","B15002_001","Male residents with doctoral degree (count)","Male residents with doctoral degree (Proportion of residents 25 and older)",TRUE,"2010"
"142","B15002_019","pop_25_and_over_female","B15002_001","Female Residents aged 25 and older (count)","Female Residents aged 25 and older (Proportion of residents 25 and older)",TRUE,"2010"
"143","B15002_020","no_education_female","B15002_001","Female residents with no education (count)","Female residents with no education (Proportion of residents 25 and older)",TRUE,"2010"
"144","B15002_021","nursery_to_fourth_grade_female","B15002_001","Female residents with pre-school to fourth grade education (count)","Female residents with pre-school to fourth grade education (Proportion of residents 25 and older)",TRUE,"2010"
"145","B15002_022","5th_or_6th_grade_female","B15002_001","Female residents with 5th or 6th grade education (count)","Female residents with 5th or 6th grade education (Proportion of residents 25 and older)",TRUE,"2010"
"146","B15002_023","7th_or_8th_grade_female","B15002_001","Female residents with 7th or 8th grade education (count)","Female residents with 7th or 8th grade education (Proportion of residents 25 and older)",TRUE,"2010"
"147","B15002_024","ninth_grade_female","B15002_001","Female residents with 9th grade education (count)","Female residents with 9th grade education (Proportion of residents 25 and older)",TRUE,"2010"
"148","B15002_025","tenth_grade_female","B15002_001","Female residents with tenth grade education (count)","Female residents with tenth grade education (Proportion of residents 25 and older)",TRUE,"2010"
"149","B15002_026","eleventh_grade_female","B15002_001","Female residents with eleventh grade education (count)","Female residents with eleventh grade education (Proportion of residents 25 and older)",TRUE,"2010"
"150","B15002_027","twelfth_grade_no_diploma_female","B15002_001","Female residents with twelfth grade education, no diploma (count)","Female residents with twelfth grade education, no diploma (Proportion of residents 25 and older)",TRUE,"2010"
"151","B15002_028","high_school_grad_female","B15002_001","Female residents with high school degree or equivalent (count)","Female residents with high school degree or equivalent (Proportion of residents 25 and older)",TRUE,"2010"
"152","B15002_029","some_college_less_than_1_year_female","B15002_001","Female residents with less than one year of college (count)","Female residents with less than one year of college (Proportion of residents 25 and older)",TRUE,"2010"
"153","B15002_030","some_college_1_year_or_more_female","B15002_001","Female residents with one or more year of college (count)","Female residents with one or more year of college (Proportion of residents 25 and older)",TRUE,"2010"
"154","B15002_031","associates_degree_female","B15002_001","Female residents with associates degree (count)","Female residents with associates degree (Proportion of residents 25 and older)",TRUE,"2010"
"155","B15002_032","bachelors_degree_female","B15002_001","Female residents aged 25 and older with a bachelor's degree (count)","Female residents aged 25 and older with a bachelor's degree (proportion of residents aged 25 and older)",TRUE,"2010"
"156","B15002_033","masters_degree_female","B15002_001","Female residents with masters degree (count)","Female residents with masters degree (Proportion of residents 25 and older)",TRUE,"2010"
"157","B15002_034","professional_degree_female","B15002_001","Female residents with professional degree (count)","Female residents with professional degree (Proportion of residents 25 and older)",TRUE,"2010"
"158","B15002_035","doctoral_degree_female","B15002_001","Female residents with doctoral degree (count)","Female residents with doctoral degree (Proportion of residents 25 and older)",TRUE,"2010"
"159","B16005_001","total_ages_5_up","","Population 5 years and over","",TRUE,"2010"
"160","B16005_004","native_born_spanish","","Native born persons (ages 5+) who speak Spanish (count)","",TRUE,"2010"
"161","B16005_007","ntv_sp_lmt_eng_notwell","B16005_004","Native-born persons (age 5+) who speak Spanish and who spead English 'not well' (count)","Percent of native-born persons (age 5+) who speak Spanish and speak English 'not well' (proportion of all native-born persons (ages 5) who speak Spanish)",TRUE,"2010"
"162","B16005_008","ntv_sp_lmt_eng_notatall","B16005_004","Native-born persons (age 5+) who speak Spanish and who speak English 'not at all' (count)","Percent of native-born persons (age 5+) who speak Spanish and speak English 'not at all' (proportion of all native-born persons (ages 5+) who speak Spanish)",TRUE,"2010"
"163","B16005_009","native_born_indo_europe","","Native born persons (ages 5+) who speak Indo-European languages (count)","",TRUE,"2010"
"164","B16005_012","ntv_ie_lmt_eng_notwell","B16005_009","Native-born persons (age 5+) who speak Indo-European languages and speak English not well (count)","Percent of native born persons (age 5+) who speak Indo-European languages and speak English 'not well' (proportion of all persons (ages 5+) who speak Indo-European languages)",TRUE,"2010"
"165","B16005_013","ntv_ie_lmt_eng_notatall","B16005_009","Native-born persons (age 5+) who speak Indo-European languages and speak English not at all (count)","Percent of native born persons (age 5+) who speak Indo-European languages and speak English 'not at all' (proportion of all persons (ages 5+) who speak Indo-European languages)",TRUE,"2010"
"166","B16005_014","native_born_asian_pi","","Native born persons (ages 5+) who speak Asian and Pacific Islander languages (count)","",TRUE,"2010"
"167","B16005_017","ntv_api_lmt_en_notwell","B16005_014","Native-born persons (age 5+) who speak Asian and Pacific Island languages and speak English 'not well' (count)","Percent of native born persons (age 5+) who speak Asian and Pacific Islander languages and speak English 'not well' (proportion of all native born persons (ages 5+) who speak Asian and Pacific Islander languages)",TRUE,"2010"
"168","B16005_018","ntv_api_lmt_en_notatall","B16005_014","Native-born persons (age 5+) who speak Asian and Pacific Island languages and speak English 'not at all' (count)","Percent of native-born persons (age 5+) who speak Asian and Pacific Island languages and speak English 'not at all' (proportion of native-born persons (ages 5+) who speak Asian and Pacific Islander languages)",TRUE,"2010"
"169","B16005_019","native_born_other","","Native born persons (ages 5+) who speak other languages (count)","",TRUE,"2010"
"170","B16005_022","ntv_oth_lmt_en_notwell","B16005_019","Native-born persons (age 5+) who speak other languages and speak English 'not well' (count)","Percent , native-born persons (age 5+) who speak other languages and speak English 'not well' (proportion of native-born persons (ages 5+) who speak other languages)",TRUE,"2010"
"171","B16005_023","ntv_oth_lmt_en_notatall","B16005_019","Native-born persons (age 5+) who speak other languages and speak English 'not at all' (count)","Percent of native-born persons (age 5+) who speak other languages and speak English 'not at all' (proportin of native-born persons (ages 5+) who speak other languages)",TRUE,"2010"
"172","B16005_024","total_foreign_born","B16005_001","Total foreign born population ages 5+ (count)","Percent of foreign born persons (proportion of all resdients ages 5 and older)",TRUE,"2010"
"173","B16005_026","total_fb_spanish","B16005_024","Total foreign born population (ages 5+) who speak Spanish (count)","Percent of foreign born persons (age 5+) who speak spanish (proportion of all foreign born population ages 5+)",TRUE,"2010"
"174","B16005_029","fb_sp_lmt_eng_notwell","B16005_026","Foreign-born persons (age 5+) who speak Spanish and who spead English 'not well' (count)","Percent of foreign-born persons (age 5+) who speak Spanish and who spead English 'not well' (proportion of foreign-born persons (ages 5+) who speak Spanish)",TRUE,"2010"
"175","B16005_030","fb_sp_lmt_eng_notatall","B16005_026","Foreign-born persons (age 5+) who speak Spanish and who speak English 'not at all' (count)","Percent of foreign-born persons (age 5+) who speak Spanish and who speak English 'not at all' (proportion of foreign-born persons (ages 5+) who speak Spanish)",TRUE,"2010"
"176","B16005_031","total_tb_indo_europe","B16005_024","Total foreign born population (ages 5+) who speak Indo-Eropean languages (count)","Percent of foreign born persons (age 5+) who speak Indo-Eropean languages (proportion of all foreign born population)",TRUE,"2010"
"177","B16005_034","fb_ie_lmt_eng_notwell","B16005_031","Foreign-born persons (age 5+) who speak Indo-European languages and speak English not well (count)","Percent of foreign-born persons (age 5+) who speak Indo-European languages and speak English 'not well' (proportion of foreign-born persons (ages 5+) who speak Indo-European languages)",TRUE,"2010"
"178","B16005_035","fb_ie_lmt_eng_notatall","B16005_031","Foreign-born persons (age 5+) who speak Indo-European languages and speak English not at all (count)","Percent of foreign-born persons (age 5+) who speak Indo-European languages and speak English 'not at all' (Proportion of foreign-born persons who speak Indo-European languages)",TRUE,"2010"
"179","B16005_036","total_fb_asian_pi","B16005_024","Total foreign born population (ages 5+) who speak Asian and Pacific Island languages (count)","Percent of total foreign born population (ages 5+) who speak Asian and Pacific Island languages (Proportio nof all foreign born population ages 5+)",TRUE,"2010"
"180","B16005_039","fb_api_lmt_en_notwell","B16005_036","Foreign-born persons (age 5+) who spead Asian and Pacific Island languages and speak English 'not well' (count)","Percent of foreign-born persons (age 5+) who speak Asian and Pacific Island languages and speak English 'not well' (proportion of foreign-born persons (ages 5+) who speak Asian and Pacific Islander languages)",TRUE,"2010"
"181","B16005_040","fb_api_lmt_en_notatall","B16005_036","Foreign-born persons (age 5+) who speak Asian and Pacific Island languages and speak English 'not at all' (count)","Percent of foreign-born persons (age 5+) who speak Asian and Pacific Island languages and speak English 'not at all' (proportion of foreign-born persons (ages 5+) who speak Asian and Pacific Islander languages)",TRUE,"2010"
"182","B16005_041","total_fb_other","B16005_024","Total foreign born population (ages 5+) who speak other languages (count)","Percent of total foreign born population (ages 5+) who speak other languages (Proportio nof all foreign born population ages 5+)",TRUE,"2010"
"183","B16005_044","fb_oth_lmt_en_notwell","B16005_041","Foreign-born persons (age 5+) who speak other languages and speak English 'not well' (count)","Percent of foreign-born persons (age 5+) who speak other languages and speak English 'not well' (proportion of foreign-born persons (ages 5+) who speak other languages)",TRUE,"2010"
"184","B16005_045","fb_oth_lmt_en_notatall","B16005_041","Foreign-born persons (age 5+) who speak other languages and speak English 'not at all' (count)","Percent of foreign-born persons (age 5+) who speak other languages and speak English 'not at all' (proportion of foreign-born persons (ages 5+) who speak other languages)",TRUE,"2010"
